AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|P|EL ORO|PIÑAS|6011,9100|18504,4600|0,0000|0,0000|0,0000|5065,2600|4478,0300|0,0000|645,0000|10188,2900|24516,3700
2025|1|L|CHIMBORAZO|RIOBAMBA|1131750,6400|353297,3100|3534,2200|10977,0900|0,0000|546791,5300|138954,9900|959,9200|20580,4300|774549,3500|1499559,2600
2025|1|G|TUNGURAHUA|SANTIAGO DE PILLARO|1800412,8300|1468557,3300|0,0000|45183,3100|0,0000|1813789,1200|1265000,8400|1652,2300|30555,8400|3154743,0300|3314153,4700
2025|1|O|MANABI|BOLIVAR|4295,8400|9517,6200|0,0000|0,0000|0,0000|154916,1700|33175,4900|0,0000|920,0000|189011,6600|13813,4600
2025|1|A|ORELLANA|LORETO|108677,8800|138117,9500|0,0000|0,0000|0,0000|125438,6700|44391,7300|0,0000|6479,7500|184920,8200|246795,8300
2025|1|G|ORELLANA|ORELLANA|9925151,4900|2180836,2300|252,7900|239817,4700|0,0000|9650669,2000|1992435,5200|100247,6800|202069,0300|12086159,4200|12346057,9800
2025|1|K|ZAMORA CHINCHIPE|ZAMORA|11853,9200|563,3600|0,0000|0,0000|0,0000|108349,8300|13101,7600|0,0000|7539,4500|128991,0400|12417,2800
2025|1|C|CHIMBORAZO|RIOBAMBA|2495156,1200|8518223,1900|0,0000|217445,6500|31182,5800|3062689,0300|5947943,2600|765250,1600|202009,9500|10074599,8000|11262007,5400
2025|1|G|GUAYAS|GUAYAQUIL|1365047056,2100|655194076,1700|47576,6600|12953060,1300|319359668,6300|931280501,0300|602788763,8500|446614005,5500|5810621,4300|2007442744,2100|2352601437,8000
2025|1|C|PICHINCHA|QUITO|495874715,6700|193895120,5100|768809,2000|43131792,8900|64442794,7500|224639512,9200|198955477,7600|208181145,3300|3939594,8100|661651540,0700|798113233,0200
2025|1|C|CAÑAR|SUSCAL|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|1|G|MANABI|CHONE|5332729,0400|10214962,5500|0,0000|184683,3400|0,0000|6651118,3400|6214328,1400|62446,0600|37481,4700|13170742,3100|15732374,9300
2025|1|M|BOLIVAR|GUARANDA|492331,5100|130920,9000|0,0000|23614,9400|0,0000|301934,3300|72730,8300|47,2300|811,1900|415192,8800|646867,3500
2025|1|Q|LOJA|LOJA|1092125,3100|5455273,8300|0,0000|0,0000|0,0000|1407154,9500|1734912,4900|20364,2200|69623,1000|3260367,5000|6547399,1400
2025|1|S|SUCUMBIOS|GONZALO PIZARRO|1275,4100|685,0100|0,0000|0,0000|0,0000|18999,1600|3986,0000|0,0000|0,0000|22985,1600|1960,4200
2025|1|G|EL ORO|PASAJE|4661487,6300|8758030,4700|270,0000|390405,3000|3941399,0700|5338684,2400|11181941,4800|194522,0800|551988,9400|17825081,0700|17751592,4700
2025|1|M|LOS RIOS|BUENA FE|162341,7200|165736,7300|0,0000|14781,0000|0,0000|196152,9700|48137,8300|448,7000|9620,2000|277787,0100|342859,4500
2025|1|M|LOS RIOS|BABAHOYO|697234,7300|379668,4600|0,0000|157,1400|0,0000|520625,6100|235608,4100|0,0000|3738,5400|773100,4300|1077060,3300
2025|1|C|LOJA|CATAMAYO|207843,2400|1410100,8100|0,0000|10404,7200|0,0000|396930,2300|284998,0000|6230,5700|18088,0600|707184,1000|1628348,7700
2025|1|Q|CHIMBORAZO|GUAMOTE|0,0100|5,0000|0,0000|0,0000|0,0000|3617,3300|2219,8600|0,0000|0,0000|5837,1900|5,0100
2025|1|N|IMBABURA|ANTONIO ANTE|39462,2000|1062,7500|0,0000|0,0000|0,0000|27450,1200|8814,9400|0,0000|1052,2200|37317,2800|40524,9500
2025|1|C|MANABI|PORTOVIEJO|2834460,7800|3116252,5900|0,0000|91131,5200|1192353,0100|2204341,3400|3055407,5000|371322,5800|101548,7300|5803587,2300|7234197,9000
2025|1|S|LOS RIOS|MONTALVO|54519,7500|16262,4300|0,0000|0,0000|0,0000|26864,8700|24166,3500|10,0000|32,0000|51169,4600|70782,1800
2025|1|I|ESMERALDAS|ATACAMES|415122,5200|254627,0800|56790,6800|0,0000|6628,5000|293776,1300|184172,3800|0,0000|14211,1700|496506,8500|733168,7800
2025|1|O|GUAYAS|PLAYAS|2594,9300|49292,8300|0,0000|0,0000|0,0000|607741,0600|12150,8800|0,0000|0,0000|620629,1000|51887,7600
2025|1|G|AZUAY|SIGSIG|396809,0100|462662,5100|0,0000|38143,1300|0,0000|460974,0000|260237,7900|626714,3500|8816,6000|1384612,6600|897614,6500
2025|1|G|EL ORO|EL GUABO|3528136,7300|5654485,3600|0,0000|412603,8500|3519135,7300|3982434,3900|7099276,4100|251527,1700|91373,4200|11843675,4400|13114361,6700
2025|1|C|GUAYAS|NARANJAL|89779,2100|1144159,3200|0,0000|0,0100|3548,5400|98339,2300|774387,1200|30722,4300|1863,0000|907922,3700|1237487,0800
2025|1|G|MANABI|PICHINCHA|469407,6300|2425000,4100|0,0000|64381,9000|12896671,3500|748424,8800|1034391,3500|228,9700|32958,4300|1909262,4100|15855461,2900
2025|1|L|EL ORO|ATAHUALPA|6007,4800|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|6007,4800
2025|1|G|GUAYAS|EL TRIUNFO|3243843,6200|21249654,5500|0,0000|449024,9800|0,0000|3358037,4000|14915958,7600|4374,4000|227057,4300|18949409,1800|24942523,1500
2025|1|M|LOJA|PALTAS|63104,8200|10348,3300|0,0000|0,0000|0,0000|31051,2100|7646,5700|0,0000|2090,2000|43755,4100|73453,1500
2025|1|C|MANABI|EL CARMEN|206020,5300|3522403,9600|0,0000|80500,5500|665184,1100|675633,4400|3774303,6400|456,7500|32682,7300|4538084,2400|4474109,1500
2025|1|M|IMBABURA|SAN MIGUEL DE URCUQUI|34315,4200|196641,8600|0,0000|0,0000|0,0000|101845,5500|44351,2300|0,0000|282,9000|146609,3700|230957,2800
2025|1|G|BOLIVAR|CHILLANES|314919,1200|195454,4800|0,0000|9832,9200|0,0000|395640,7600|214250,9200|450,0000|459,4800|636375,5200|520206,5200
2025|1|C|ZAMORA CHINCHIPE|YANTZAZA|1295743,5600|87045,3400|0,0000|17859,5000|0,0000|522644,1500|494259,6000|21200,0000|12648,4300|1055424,8500|1400648,4000
2025|1|G|PICHINCHA|MEJIA|10396580,1800|8251668,2300|0,0000|403691,0700|11539,6000|9222939,1300|5019277,9200|1585987,8800|93344,6300|16215880,7400|19063479,0800
2025|1|C|MANABI|MONTECRISTI|21392842,3000|41417745,2600|0,0000|182373,1700|43068514,7200|17131309,9800|46368816,3900|25882426,2700|223030,3400|90101762,1800|106061475,4500
2025|1|O|BOLIVAR|ECHEANDIA|935,5200|14502,0000|0,0000|0,0000|0,0000|19439,7300|3807,7000|0,0000|0,0000|23247,4300|15437,5200
2025|1|C|MANABI|MANTA|5593062,8900|25783352,0600|83081,7300|3140,3800|27119368,0900|8797339,5200|18604128,2300|11041711,0500|258676,0700|38979982,0100|58582005,1500
2025|1|M|CAÑAR|AZOGUES|754804,0900|112080,9700|0,0000|22,0000|0,0000|591868,5000|102959,1400|21419,8400|3257,2800|755286,8700|866907,0600
2025|1|F|SUCUMBIOS|GONZALO PIZARRO|3125,0300|210,0000|0,0000|0,0000|0,0000|37114,4100|8079,7200|7,7700|330,0000|46616,9100|3335,0300
2025|1|L|GUAYAS|SAN JACINTO DE YAGUACHI|22932,6400|8830,7500|0,0000|0,0000|0,0000|7383,9600|4318,3600|0,0000|421,4600|12123,7800|31763,3900
2025|1|L|IMBABURA|SAN MIGUEL DE URCUQUI|18483,0600|43759,5000|0,0000|0,0000|0,0000|5996,5700|1782,4400|175,2700|0,0000|7954,2800|62242,5600
2025|1|N|MANABI|JARAMIJO|195362,7500|288485,8100|0,0000|0,0000|0,0000|100590,8900|76585,7700|0,0000|1689,0300|209623,1800|483848,5600
2025|1|R|MORONA SANTIAGO|SANTIAGO|1422,5200|22,5000|0,0000|0,0000|0,0000|4825,3600|767,6400|0,0000|0,0000|5593,0000|1445,0200
2025|1|H|CARCHI|TULCAN|858450,7700|6161903,9600|0,0000|65698,8700|0,0000|1472201,1900|4349708,6000|530,7400|48839,3200|5941496,3700|7086053,6000
2025|1|C|ZAMORA CHINCHIPE|ZAMORA|460305,3700|839447,9000|0,0000|0,0000|0,0000|511544,1600|73617,0000|1039,8000|1397,5000|587852,3500|1299753,2700
2025|1|L|PICHINCHA|QUITO|50302097,9900|11415849,8900|126856,1600|58272,6300|118686,2100|25994802,5800|9486785,3100|630415,7100|799101,5300|37533115,9800|62021762,8800
