AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;A;LOS RIOS;QUINSALOMA;40915,06;4418900,55;0;0;0;144371,65;2052145,48;0;9331,82;2206024,77;4459815,61
2025;1;N;CAÑAR;AZOGUES;128436,13;32883,1;3844,26;0;0;93638,51;68414,9;0;8123,31;174366,61;165163,49
2025;1;E;AZUAY;PAUTE;0;27726,92;0;0;0;11493,14;2903,06;0;1953,15;16349,35;27726,92
2025;1;Q;LOJA;PUYANGO;1358,6;7832,2;0;0;0;4588,24;2352,24;0;0;6940,48;9190,8
2025;1;N;LOS RIOS;BUENA FE;150726,01;23432,62;0;0;0;42750,79;23849,26;0;0;71324,41;174158,63
2025;1;P;TUNGURAHUA;SANTIAGO DE PILLARO;5676,46;34953,56;0;0;0;7123,29;18132,97;0;85;25574,11;40630,02
2025;1;A;NAPO;ARCHIDONA;13568,68;5069,89;0;0;0;11218,11;1089,93;0;1250;13625,66;18638,57
2025;1;A;AZUAY;EL PAN;55;1168;0;0;0;614,24;98,8;0;0;713,04;1223
2025;1;J;ESMERALDAS;SAN LORENZO;17513,61;7,87;0;0;0;16214,38;601,2;0;0;16815,58;17521,48
2025;1;H;SUCUMBIOS;GONZALO PIZARRO;891,21;214827,08;0;0;0;50251,75;140905,31;0;2049;193206,06;215718,29
2025;1;A;NAPO;CARLOS JULIO AROSEMENA TOLA;72,17;4976,62;0;0;0;800,07;1220,3;0;0;2020,37;5048,79
2025;1;I;SANTA ELENA;LA LIBERTAD;194023,13;96831,5;3810,05;0;0;117350,34;79264,57;0;25957,84;222652,7;294664,68
2025;1;Q;BOLIVAR;ECHEANDIA;2012,31;598,7;0;0;0;6683,78;388,87;0;0;7072,65;2611,01
2025;1;K;AZUAY;CAMILO PONCE ENRIQUEZ;0;0;0;0;0;78,26;0;0;0;78,26;0
2025;1;A;AZUAY;GUALACEO;17179,63;218730,06;0;0;470643,7;70566,77;162315,11;15779,96;12359,57;262811,42;706553,39
2025;1;E;TUNGURAHUA;SAN PEDRO DE PELILEO;8;50310;0;0;0;19527,99;8703,22;0;4264,48;32531,79;50318
2025;1;S;LOS RIOS;QUINSALOMA;25066,11;21621,21;0;0;0;25480,67;16161,1;0;0;41641,77;46687,32
2025;1;P;GUAYAS;GENERAL ANTONIO ELIZALDE;1550;66191,22;0;0;0;576,5;0;0;0;576,5;67741,22
2025;1;O;ORELLANA;LA JOYA DE LOS SACHAS;69,57;31257,72;0;0;0;1976185,99;25875,41;0;4140;2006201,4;31327,29
2025;1;A;ZAMORA CHINCHIPE;PAQUISHA;2616,7;2693,2;0;0;0;9408,3;501,97;2078,69;0;11988,96;5309,9
2025;1;G;LOJA;ESPINDOLA;154191,39;46642,4;0;27326,49;0;195687,72;111280,89;0;0;317066,73;228160,28
2025;1;J;ZAMORA CHINCHIPE;YACUAMBI;290,2;35;0;0;0;1150,92;11,29;0;0;1162,21;325,2
2025;1;B;AZUAY;SANTA ISABEL;957,47;26903,83;0;20055,87;0;55438,71;30014,69;0;641,94;86218,23;47917,17
2025;1;P;ESMERALDAS;ATACAMES;35170,12;28949,94;0;0;0;22857,36;2687,38;0;3,19;25547,93;64120,06
2025;1;A;GUAYAS;CORONEL MARCELINO MARIDUEÑA;69123,67;1013817,63;0;0;0;168164,6;452910,93;0;14262,88;636435,96;1082941,3
2025;1;N;GUAYAS;NOBOL;9464,17;1000;0;0;0;2139,01;122,2;0;0;2261,21;10464,17
2025;1;D;SANTA ELENA;LA LIBERTAD;1734,91;0;0;0;0;2675,01;110,46;0;0;2785,47;1734,91
2025;1;T;GALAPAGOS;SAN CRISTOBAL;106,1;0;0;0;0;355,6;0;0;0;355,6;106,1
2025;1;N;GALAPAGOS;ISABELA;255142,71;423873,92;7114,91;0;0;226474,95;135358,41;0;18612,18;381384,59;686131,54
2025;1;O;LOJA;MACARA;9968,94;72278,12;0;0;0;63489,42;9384,84;0;0;72874,26;82247,06
2025;1;T;GUAYAS;BALZAR;0;750;0;0;0;289,67;18,9;0;0;308,57;750
2025;1;M;CARCHI;SAN PEDRO DE HUACA;7848,46;13411,94;0;5;0;14320,66;7107,28;0;1375;25070,6;21265,4
2025;1;D;PICHINCHA;RUMIÑAHUI;0;0;0;0;0;9046,41;0;0;0;9046,41;0
2025;1;R;SUCUMBIOS;CUYABENO;0;100,2;0;0;0;88,69;7,48;0;0;96,17;100,2
2025;1;D;MANABI;PORTOVIEJO;0,5;0;0;0;0;8488,5;0;0;0;8488,5;0,5
2025;1;E;MANABI;SUCRE;0,01;458,5;0;0;0;1481,81;147,22;0;5;1634,03;458,51
2025;1;G;LOJA;QUILANGA;5807,73;32776,2;0;1694,75;0;21435,29;2612,55;0;20000;48243,64;40278,68
2025;1;E;MANABI;PICHINCHA;0;88,01;0;0;0;0;80,3;0;0;80,3;88,01
